Date;Calf;Behaviour;Interaction;IDs
11/04/2009 14:15;2;P;N;20L 40L 12L
11/04/2009 15:08;0;P;N;3L 4L 24L 38L
28/04/2009 13:28;1;DP ;N;11L 10L
28/04/2009 14:54;0;P;S;49L 12L
28/04/2009 15:07;0;P;S;33L 48L 24L
28/04/2009 15:48;0;DP;N;32L 34L 6L 41L
28/04/2009 16:18;0;P;N;20L 38L
29/04/2009 07:57;0;P;N;43L 26L 27L
29/04/2009 10:24;0;DP;N;42L 17L
29/04/2009 11:36;0;P;S;14L 48L 2L
29/04/2009 13:24;0;P;N;16L 12L 6L
07/05/2009 10:59;0;DP;N;4L 39L
07/05/2009 11:11;0;S;N;3L 38L 41L 42L 27L
07/05/2009 14:00;1;P;N;50L 10L 40L
07/05/2009 14:33;0;P;N;48L 52L
11/05/2009 13:01;1;P;S;40L 33L
11/05/2009 13:19;0;DP;N  ;4L 52L
11/05/2009 13:57;0;P;N;39L 42L 43L
11/05/2009 15:41;0;P;N;20L 37L 21L
11/05/2009 17:13;0;P;S;3L 15L 16L 7L
12/05/2009 08:05;1;DP;N;41L 3L 37L 31L
12/05/2009 08:42;1;DP;N;43L 42L 39L
12/05/2009 08:52;0;P;N;26L 21L
12/05/2009 11:07;0;DP;N;33L 50L
12/05/2009 13:22;1;P;S;11L 38L
23/05/2009 15:33;1;DP;N;27L 32L 4L
23/05/2009 15:43;1;DP;N;33L 28L
23/05/2009 16:16;0;P;N;16L 12L
23/05/2009 16:56;0;DP;N;17L 22L
24/05/2009 11:09;0;P;N;26L 27L 38L 3L
24/05/2009 11:25;0;P;N;8L 43L 42L
24/05/2009 11:46;0;D;N;48L 4L
24/05/2009 11:46;0;D;N;6L 34L 37L
24/05/2009 15:33;0;P;S;10L 40L
19/06/2009 11:39;0;P;N;28L
19/06/2009 12:42;0;P;N;50L
15/07/2009 07:58;1;DP;N;33L 40L
15/07/2009 08:13;0;DP;N;32L 50L 26L 22L
15/07/2009 10:28;0;D;N;3L 38L 48L
15/07/2009 12:22;0;DP;N;21L 37L 39L
15/07/2009 13:08;0;DP;N;3L 15L
20/07/2009 11:40;0;P;N;39L 42L
20/07/2009 14:43;0;P;N;27L 38L
20/07/2009 14:50;0;P;N;15L 33L 16L
11/08/2009 12:33;0;P;N;3L 39L
11/08/2009 15:29;0;P;S;15L 16L
25/08/2009 12:05;1;P;N;18L 37L 27L
25/08/2009 13:18;1;DP;N;8L 18L
25/08/2009 14:56;0;P;N;14L 33L
28/08/2009 07:56;0;P;N;9L 15L
28/08/2009 08:27;0;P;N;16L 40L 31L 32L 52L
